id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date
PG.AR.,PG,AR,,"EHE,EHN,EHZ",35.463165,-120.978333,91.0,1987.182,2008.325
PG.ARD.,PG,ARD,,"EHE,EHN,EHZ",35.463165,-120.978333,91.0,2008.158,2020.196
PG.BL.,PG,BL,,EHZ,35.533833,-120.90667,457.0,1987.274,2020.183
PG.BLD.,PG,BLD,,"EHE,EHN,EHZ",35.533833,-120.90667,457.0,2007.282,2022.274
PG.BP.,PG,BP,,EHZ,35.753666,-121.143166,792.0,1987.280,2018.229
PG.BUD.,PG,BUD,,"EHE,EHN,EHZ",35.239899,-120.869003,435.0,2009.224,2009.257
PG.CS.,PG,CS,,EHZ,35.600498,-121.094002,30.0,1987.274,2011.341
PG.CSD.,PG,CSD,,"EHE,EHN,EHZ",35.600498,-121.094002,30.0,2011.343,3000.001
PG.DC.,PG,DC,,"EHE,EHN,EHZ",35.212166,-120.840836,238.0,1987.274,2007.162
PG.DC2.,PG,DC2,,EHZ,35.213833,-120.850334,238.0,1988.245,2007.011
PG.DCD.,PG,DCD,,"EHE,EHN,EHZ",35.212166,-120.840836,238.0,2007.114,3000.001
PG.DP.,PG,DP,,EHZ,35.233002,-120.78167,488.0,1986.163,2008.129
PG.DPD.,PG,DPD,,"EHE,EHN,EHZ",35.233002,-120.78167,488.0,2007.004,3000.001
PG.EC.,PG,EC,,EHZ,35.333332,-120.71817,259.0,1987.258,2018.229
PG.EFD.,PG,EFD,,"EHE,EHN,EHZ",35.320499,-120.724998,95.0,2009.281,3000.001
PG.GAD.,PG,GAD,,"EHE,EHN,EHZ",35.21756,-120.860779,46.0,2019.234,3000.001
PG.LM.,PG,LM,,"EHE,EHN,EHZ",35.380333,-120.824669,171.0,1987.265,2010.056
PG.LMD.,PG,LMD,,"EHE,EHN,EHZ",35.380329,-120.824669,171.0,2009.356,3000.001
PG.LQ.,PG,LQ,,EHZ,35.668835,-120.990669,619.0,1987.272,2016.041
PG.LS.,PG,LS,,EHZ,35.297333,-120.843002,244.0,1987.288,2010.344
PG.LSD.,PG,LSD,,"EHE,EHN,EHZ",35.297333,-120.843002,244.0,2010.343,3000.001
PG.ML.,PG,ML,,EHZ,35.322498,-120.602501,762.0,1987.272,2020.183
PG.MLD.,PG,MLD,,"EHE,EHN,EHZ",35.322498,-120.602501,762.0,2011.166,3000.001
PG.NP.,PG,NP,,EHZ,35.086334,-120.472504,452.0,1987.194,2008.325
PG.NPD.,PG,NPD,,"EHE,EHN,EHZ",35.086334,-120.472504,452.0,2008.222,3000.001
PG.OBS1.,PG,OBS1,,"HH3,HH2,HH1",35.270856,-120.934816,-63.0,2013.244,2014.051
PG.OBS2.,PG,OBS2,,"HH3,HH2,HH1",35.256855,-120.960264,-100.0,2013.244,2014.065
PG.OBS3.,PG,OBS3,,"HH3,HH2,HH1",35.22323,-120.939617,-107.0,2013.244,2014.064
PG.OBS4.,PG,OBS4,,"HH3,HH2,HH1",35.19099,-120.87035,-55.0,2013.244,2014.092
PG.OC.,PG,OC,,EHZ,34.849998,-120.477165,244.0,1987.258,2020.183
PG.OF.,PG,OF,,EHZ,35.015999,-120.605499,12.0,1989.256,2011.348
PG.PB.,PG,PB,,"EHE,EHN,EHZ",35.709,-121.2715,183.0,1987.237,3000.001
PG.PBD.,PG,PBD,,"EHE,EHN,EHZ",35.709,-121.2715,183.0,2010.321,2023.102
PG.PS.,PG,PS,,"EHE,EHN,EHZ",34.902168,-120.621666,378.0,1987.196,2020.183
PG.PSD.,PG,PSD,,"EHE,EHN,EHZ",34.902168,-120.621666,378.0,2007.282,3000.001
PG.RP.,PG,RP,,EHZ,35.777168,-121.305832,411.0,1987.237,2016.041
PG.SH.,PG,SH,,EHZ,35.168171,-120.76133,195.0,1987.191,2020.183
PG.SHD.,PG,SHD,,"EHE,EHN,EHZ",35.168171,-120.76133,195.0,2007.004,3000.001
PG.VPD.,PG,VPD,,"EHE,EHN,EHZ",35.239899,-120.869003,435.0,2009.266,3000.001
PG.WR.,PG,WR,,EHZ,35.458832,-120.881668,238.0,1987.273,2007.011
PG.WRD.,PG,WRD,,"EHE,EHN,EHZ",35.458832,-120.881668,238.0,2007.004,2020.195
